name,description,train_paraphrase,test_paraphrase
Gligar,"A purple bat-scorpion with large ears, a wide mouth, and a segmented tail ending in a stinger. It has sharp claws and sturdy legs.","A purple bat-scorpion with a broad mouth, large ears, and stinging tail. It has sharp claws and sturdy legs.","An adult purple bat-scorpion with broad, wide mouth and stinging tail. Sharp claws and sturdy legs."
Qwilfish,"A round pufferfish-like creature with a dark green top and cream underside. It has sharp spines, big round eyes, and a wide mouth.","The spherical shape of this pufferfish has a dark green outer shell and cream inner side, along with large circular eyes and ribcage.","It is a round creature with 'puffer-fished head', dark green on the surface and cream on its bottom, sharp spines, big round eyes, wide mouth."
Scizor,"A sleek red insect with a metallic body, large pincer-like claws, sharp yellow eyes, and thin wings. Its legs are thin and segmented.","The creature's metallic body, claws that resemble pincers, sharp yellow eyes, and thin wings are all features of this red insect. Its legs are segmented and have thin legs.","An elegant red insect with a metallic appearance, large pincer-shaped claws, sharp yellow eyes, and thin wings. Its legs are segmented and have thin legs that extend from the body to the hindquarters."
Shuckle,"A small, yellow creature with soft limbs and a body hidden inside a hard red shell with white-rimmed holes. It moves slowly and stores things inside its shell.","Its small yellow body with soft limbs, hidden within a hard red shell with holes white rimmed inside it, moves slowly and stores things in the shell.","A yellow creature with soft limbs and a body enclosed in oblong, hard red shell with white-rimmed holes. It moves slowly and stores items inside its shell."
Heracross,"A beetle-like biped with a blue exoskeleton and a long pronged horn. It has yellow eyes, spiked forearms, and claws that help it climb.","A biped with a blue exoskeleton and long pronged horn. It has yellow eyes, spiked forearms and claws that help it climb.","The teddy bear is a biped with wing length and blue exoskeleton. It has yellow eyes, spiked forearms, and claws that aid in climbing."
Sneasel,"A sleek, bipedal creature with dark fur, sharp claws, and icy features. It has a cunning look and blends well in snowy environments.","A slender, two-legged creature with dark hair, sharp claws, and frozen features. It has a cunning appearance and is suitable for living in snow.","This bipedal creature has a sharp claw, dark skin, and sleek appearance, with sly features. It looks cool and can easily blend in with snow."
Teddiursa,"A small, bear-like creature with orange-brown fur, a light tan muzzle, and a crescent mark on its face. Its paws are often sticky with honey.","Its small, bear-like appearance is characterized by its pale orange-brown fur, a light tan muzzle, and crescent-shaped face. It's paws are often sticky with honey.","The creature is a small, bear-like being with an orange-brown hue, and its muzzle is light gray. It has limbs that are often covered in honey."
Ursaring,"A large brown bear with a broad build, tan muzzle, and a chest ring. It has sharp claws, narrow eyes, and long shoulder fur.","A broad-spectacled brown bear with a tan muzzle and chest ring. Sharp claws, narrow eyes, and long shoulder fur make this creature massive.","The bear is a broad, large brown animal with tan muzzle and chest ring. Sharp claws, narrow eyes and long shoulder fur make it stand out from the rest."
Slugma,"A molten red creature with no limbs, large yellow eyes, and dripping magma features. Flames rise from its head and its lower body bubbles.","A molten red entity with no arms, large yellow eyes, and flaming magma features. Its head and bubbles in its lower body are visible flames.","The creature is a red-colored entity with no arms, legs, or arms. Its magma features are sizable and dripping. Flames billow from its head and lower body."
Swinub,"A small pig-like creature covered in shaggy brown fur with stripes. Its nose is pink and pig-like, used to dig through mud and snow.","The creature is a small pig-like figure covered in brown fur with stripes. Its nose is pink and similar to that of poop, and it can dig through mud and snow.","This is a small, bearded pig-like creature, covered in brown fur with stripes. Its nose is pink and similar to that of poop, and it can dig through mud and snow."
Corsola,"A round, pink creature with coral-like branches growing from its back. It has black eyes, a small horn, and a light-blue belly.","The creature is a round pink creature with coral-like branches at its back. It has black eyes, sprightly horn, and pale belly.","A spherical, pink creature with coral-like branches at its rear. It has black eyes, a small horn, and reveals primarily light blue hues in its belly."
Remoraid,"A light blue fish with saucer-shaped eyes, striped back, and a mouth with pointed teeth. Its fins resemble weapon parts and it can shoot water.","With a light blue hue and saucer-shaped eyes, striped fins, pointed teeth, and finessed with weapon parts, this fish can shoot water.","A fish with a light blue hue and saucer-shaped eyes, striped fins, pointed teeth, and can shoot water. It has wing tips that resemble parts of munitions."
Octillery,"A red, octopus-like creature with round eyes and a turret-like mouth. Its head has yellow bumps and its tentacles are lined with yellow suction cups.",A red-colored octopus with round eyes and a circular mouth. Its head has yellow bumps and its tentacles are lined with yellow suction cups.,"An octopus-like creature, this red creature has yellow bumps on its head and yellow suction cups line the body. It also has round eyes and a turret-shaped mouth."
